Variable Name,Source Document,Source Category,MAS Function,Actor,Actor Type,Valuation Type,Val_Primary,Data Access,Source,Subject_Area,N_AIDM_Elements,Coding_Source
YQ/YR Surcharge,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Cost,Cost,MNAR,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
HIP (Highest Intermediate Point),ATPCO (composite),Industry Schema,Revenue Management,ATPCO,Industry Body,Income,Income,MNAR,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
MPM (Maximum Permitted Mileage),ATPCO (composite),Industry Schema,Revenue Management,IATA,Industry Body,Market,Market,MNAR,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Add-On / Proportional Fare,ATPCO (composite) / 14 CFR 221,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Advance Purchase Requirement,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Option,Option,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Combinability Indicator,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Market,Market,MNAR,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Offer,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income/Market,Income,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Price (Base Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Price (Total Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Order,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Order Item (Grand Total Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Penalty (Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Risk,Risk,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Fee (Amount),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Commission (Amount),AIDM / RP1008,Industry Schema,Distribution / GDS,Travel Agent,Vendor,Cost,Cost,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
RBD (Booking Class Code),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,Option,MNAR,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Cancel Restrictions (Allowed Modification Indicator),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Risk,Risk,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Change Restrictions (Allowed Modification Indicator),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Risk,Risk,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Price Guarantee Time Limit,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,Option,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Payment Time Limit,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,Option,OBSERVED,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Interline Settlement Information / Settlement Amount,AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Income,MNAR,M3_PoC_Schema,Settlements,1,Manual schema coding (M2/M3)
Interline Settlement Information / Method Code,AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Market,OBSERVED,M3_PoC_Schema,Settlements,1,Manual schema coding (M2/M3)
Tax (Filed Amount),AIDM / RP1008,Industry Schema,Revenue Management,Regulator,Regulator,Cost,Cost,OBSERVED,M3_PoC_Schema,Taxes,1,Manual schema coding (M2/M3)
Tax Code,AIDM / RP1008,Industry Schema,Revenue Management,Regulator,Regulator,Cost,Cost,OBSERVED,M3_PoC_Schema,Taxes,1,Manual schema coding (M2/M3)
Tax (Refund Indicator),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Risk,Risk,OBSERVED,M3_PoC_Schema,Taxes,1,Manual schema coding (M2/M3)
Loyalty Program Account Identifier,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,Option,OBSERVED,M3_PoC_Schema,Loyalty Accounts,1,Manual schema coding (M2/M3)
Loyalty Program Account Tier Code,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Market,Market,OBSERVED,M3_PoC_Schema,Loyalty Accounts,1,Manual schema coding (M2/M3)
Loyalty Redemption (Loyalty Currency Amount),AIDM / RP1008,Industry Schema,Revenue Management,Passenger,Passenger,Option,Option,OBSERVED,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Qualifying Balance Amount,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Market,Market,OBSERVED,M3_PoC_Schema,Loyalty Accounts,1,Manual schema coding (M2/M3)
Payment Card (Card Number),AIDM / RP1008,Industry Schema,Fraud / Payment,Passenger,Passenger,Risk,Risk,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Payment Information (Payment Status Code),AIDM / RP1008,Industry Schema,Fraud / Payment,Vendor,Vendor,Risk,Risk,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Settlement Data (Net Clearance Amount),AIDM / RP1008,Industry Schema,Fraud / Payment,Amadeus (SIS),Vendor,Income,Income,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Clearance (Status Code),AIDM / RP1008,Industry Schema,Fraud / Payment,Amadeus (SIS),Vendor,Risk,Risk,MNAR,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Flight Leg (Arrival Date Time),AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Flight Leg (Departure Date Time),AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Transport Service Leg (Status Code),AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Risk,Risk,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
