Variable Name,Source Document,Source Category,MAS Function,Actor,Actor Type,Valuation Type,Val_Primary,Data Access,Source,Subject_Area,N_AIDM_Elements,Coding_Source
Bag,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Bag Activity,AIDM RP1008,Industry Schema,Workforce Management,Vendor,Vendor,Cost,Cost,OBSERVED,M4_AIDM_Full,Bags,7,AIDM RP1008 systematic coding — ABIE level
Bag Dimensions,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,3,AIDM RP1008 systematic coding — ABIE level
Bag Exception,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Bag Physical Properties,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,8,AIDM RP1008 systematic coding — ABIE level
Bag Segment,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,5,AIDM RP1008 systematic coding — ABIE level
Bag Segment Exception,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Bag Status,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,6,AIDM RP1008 systematic coding — ABIE level
Bag Tag,AIDM RP1008,Industry Schema,Workforce Management,Industry Body,Industry Body,Cost,Cost,OBSERVED,M4_AIDM_Full,Bags,10,AIDM RP1008 systematic coding — ABIE level
Baggage Allowance,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,6,AIDM RP1008 systematic coding — ABIE level
Baggage Claim,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Baggage Disclosure,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,6,AIDM RP1008 systematic coding — ABIE level
Baggage Event,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,2,AIDM RP1008 systematic coding — ABIE level
Baggage Facility Type,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Baggage Handling Bay,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Baggage Process,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,4,AIDM RP1008 systematic coding — ABIE level
Baggage Statuses,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,3,AIDM RP1008 systematic coding — ABIE level
BDC,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,3,AIDM RP1008 systematic coding — ABIE level
Boarding Gate,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Carrier,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Income,Income,OBSERVED,M4_AIDM_Full,Bags,7,AIDM RP1008 systematic coding — ABIE level
Cart,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Cart Ride,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,2,AIDM RP1008 systematic coding — ABIE level
Cart Type,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Check-In Desk,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
City,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,2,AIDM RP1008 systematic coding — ABIE level
Collection,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,2,AIDM RP1008 systematic coding — ABIE level
Country,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,2,AIDM RP1008 systematic coding — ABIE level
Country Sub-Division,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,2,AIDM RP1008 systematic coding — ABIE level
Crew Member,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Dated Operating Segment,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Bags,9,AIDM RP1008 systematic coding — ABIE level
Delivery,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,2,AIDM RP1008 systematic coding — ABIE level
Dimension Allowance,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,7,AIDM RP1008 systematic coding — ABIE level
Disclosure,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Event Specification,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Facility,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,2,AIDM RP1008 systematic coding — ABIE level
Geospatial Location,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,3,AIDM RP1008 systematic coding — ABIE level
Handling Agency,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Handling Bay,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Loyalty Program Account,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,5,AIDM RP1008 systematic coding — ABIE level
Network Address,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,4,AIDM RP1008 systematic coding — ABIE level
Order Item,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Income,Income,PARTIAL,M4_AIDM_Full,Bags,17,AIDM RP1008 systematic coding — ABIE level
Passenger,AIDM RP1008,Industry Schema,Workforce Management,Passenger,Passenger,Option,Option,PARTIAL,M4_AIDM_Full,Bags,8,AIDM RP1008 systematic coding — ABIE level
Passenger Journey,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,2,AIDM RP1008 systematic coding — ABIE level
Passenger Status,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,2,AIDM RP1008 systematic coding — ABIE level
Piece Allowance,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,5,AIDM RP1008 systematic coding — ABIE level
Printer,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Response Parameters,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,3,AIDM RP1008 systematic coding — ABIE level
Scanner,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Segment Security Controls,AIDM RP1008,Industry Schema,Workforce Management,Regulator,Regulator,Risk,Risk,OBSERVED,M4_AIDM_Full,Bags,10,AIDM RP1008 systematic coding — ABIE level
Segment Security Outcomes,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,5,AIDM RP1008 systematic coding — ABIE level
Segment Service Offer,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Service,AIDM RP1008,Industry Schema,Workforce Management,Vendor,Vendor,Market,Market,PARTIAL,M4_AIDM_Full,Bags,17,AIDM RP1008 systematic coding — ABIE level
Service Definition,AIDM RP1008,Industry Schema,Workforce Management,Industry Body,Industry Body,Market,Market,PARTIAL,M4_AIDM_Full,Bags,12,AIDM RP1008 systematic coding — ABIE level
Station,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,2,AIDM RP1008 systematic coding — ABIE level
Terminal,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,2,AIDM RP1008 systematic coding — ABIE level
Terminal Pier,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Terminal Satellite,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Transport Vehicle Parking Position,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
ULD Allocation,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,3,AIDM RP1008 systematic coding — ABIE level
Weight Allowance,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,4,AIDM RP1008 systematic coding — ABIE level
Aggregator,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Contacts,2,AIDM RP1008 systematic coding — ABIE level
Airline,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Income,Income,OBSERVED,M4_AIDM_Full,Contacts,4,AIDM RP1008 systematic coding — ABIE level
City,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Contacts,2,AIDM RP1008 systematic coding — ABIE level
Contact Information,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Contacts,6,AIDM RP1008 systematic coding — ABIE level
Corporation,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Contacts,4,AIDM RP1008 systematic coding — ABIE level
Direct Bill,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Contacts,2,AIDM RP1008 systematic coding — ABIE level
Email Address,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Contacts,2,AIDM RP1008 systematic coding — ABIE level
Individual,AIDM RP1008,Industry Schema,Environmental Boundary,Passenger,Passenger,Risk,Risk,PARTIAL,M4_AIDM_Full,Contacts,11,AIDM RP1008 systematic coding — ABIE level
Organization,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Contacts,3,AIDM RP1008 systematic coding — ABIE level
Other Address,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Contacts,2,AIDM RP1008 systematic coding — ABIE level
Passenger,AIDM RP1008,Industry Schema,Environmental Boundary,Passenger,Passenger,Option,Option,PARTIAL,M4_AIDM_Full,Contacts,8,AIDM RP1008 systematic coding — ABIE level
Passenger Group,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Contacts,3,AIDM RP1008 systematic coding — ABIE level
Payment Card,AIDM RP1008,Industry Schema,Environmental Boundary,Vendor,Vendor,Risk,Risk,MNAR,M4_AIDM_Full,Contacts,14,AIDM RP1008 systematic coding — ABIE level
Payment Information,AIDM RP1008,Industry Schema,Environmental Boundary,Vendor,Vendor,Risk,Risk,MNAR,M4_AIDM_Full,Contacts,8,AIDM RP1008 systematic coding — ABIE level
Phone,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Contacts,5,AIDM RP1008 systematic coding — ABIE level
Postal Address,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Contacts,5,AIDM RP1008 systematic coding — ABIE level
Travel Agency,AIDM RP1008,Industry Schema,Environmental Boundary,Vendor,Vendor,Cost,Cost,MNAR,M4_AIDM_Full,Contacts,5,AIDM RP1008 systematic coding — ABIE level
Access Gate,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,1,AIDM RP1008 systematic coding — ABIE level
Aircraft,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Flights,6,AIDM RP1008 systematic coding — ABIE level
Aircraft Arrival,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,1,AIDM RP1008 systematic coding — ABIE level
Aircraft Departure,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,1,AIDM RP1008 systematic coding — ABIE level
Airline,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Income,Income,OBSERVED,M4_AIDM_Full,Flights,4,AIDM RP1008 systematic coding — ABIE level
Airport,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,2,AIDM RP1008 systematic coding — ABIE level
Baggage Handling Bay,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,1,AIDM RP1008 systematic coding — ABIE level
Carrier,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Income,Income,OBSERVED,M4_AIDM_Full,Flights,7,AIDM RP1008 systematic coding — ABIE level
Check-In Desk,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,1,AIDM RP1008 systematic coding — ABIE level
City,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,2,AIDM RP1008 systematic coding — ABIE level
Flight,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Flights,4,AIDM RP1008 systematic coding — ABIE level
Flight Leg,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Flights,5,AIDM RP1008 systematic coding — ABIE level
IATA Aircraft Type,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,3,AIDM RP1008 systematic coding — ABIE level
Station,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,2,AIDM RP1008 systematic coding — ABIE level
Surface Transport Vehicle,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,2,AIDM RP1008 systematic coding — ABIE level
Terminal,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,2,AIDM RP1008 systematic coding — ABIE level
Terminal Pier,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,1,AIDM RP1008 systematic coding — ABIE level
Terminal Satellite,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,1,AIDM RP1008 systematic coding — ABIE level
Transit Stop,AIDM RP1008,Industry Schema,Disruption Management,Airport,Airport,Cost,Cost,OBSERVED,M4_AIDM_Full,Flights,5,AIDM RP1008 systematic coding — ABIE level
Transport Service,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,4,AIDM RP1008 systematic coding — ABIE level
Transport Service Leg,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Flights,5,AIDM RP1008 systematic coding — ABIE level
Transport Service Segment,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Flights,8,AIDM RP1008 systematic coding — ABIE level
Transport Vehicle Parking Position,AIDM RP1008,Industry Schema,Disruption Management,Carrier,Carrier,Risk,Risk,OBSERVED,M4_AIDM_Full,Flights,1,AIDM RP1008 systematic coding — ABIE level
Account,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Loyalty Accounts,1,AIDM RP1008 systematic coding — ABIE level
Airline,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M4_AIDM_Full,Loyalty Accounts,4,AIDM RP1008 systematic coding — ABIE level
Airline Alliance,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Loyalty Accounts,3,AIDM RP1008 systematic coding — ABIE level
Airline Alliance Criteria,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Loyalty Accounts,2,AIDM RP1008 systematic coding — ABIE level
Bag Segment,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Loyalty Accounts,5,AIDM RP1008 systematic coding — ABIE level
Carrier,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M4_AIDM_Full,Loyalty Accounts,7,AIDM RP1008 systematic coding — ABIE level
Individual,AIDM RP1008,Industry Schema,Revenue Management,Passenger,Passenger,Risk,Risk,PARTIAL,M4_AIDM_Full,Loyalty Accounts,11,AIDM RP1008 systematic coding — ABIE level
Loyalty Program,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,Option,PARTIAL,M4_AIDM_Full,Loyalty Accounts,4,AIDM RP1008 systematic coding — ABIE level
Loyalty Program Account,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Loyalty Accounts,5,AIDM RP1008 systematic coding — ABIE level
Loyalty Program Tier,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Loyalty Accounts,2,AIDM RP1008 systematic coding — ABIE level
Loyalty Redemption,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Loyalty Accounts,2,AIDM RP1008 systematic coding — ABIE level
Organization Party Role,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Loyalty Accounts,1,AIDM RP1008 systematic coding — ABIE level
Passenger,AIDM RP1008,Industry Schema,Revenue Management,Passenger,Passenger,Option,Option,PARTIAL,M4_AIDM_Full,Loyalty Accounts,8,AIDM RP1008 systematic coding — ABIE level
Payment Method,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Loyalty Accounts,1,AIDM RP1008 systematic coding — ABIE level
A La Carte Offer Item,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,1,AIDM RP1008 systematic coding — ABIE level
Affinity Shopping Criteria,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,1,AIDM RP1008 systematic coding — ABIE level
Bilateral Time Limit,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,3,AIDM RP1008 systematic coding — ABIE level
Booking,AIDM RP1008,Industry Schema,Revenue Management,Vendor,Vendor,Income,Income,OBSERVED,M4_AIDM_Full,Offers,3,AIDM RP1008 systematic coding — ABIE level
Booking Instructions,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,4,AIDM RP1008 systematic coding — ABIE level
Booking Reference,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,3,AIDM RP1008 systematic coding — ABIE level
Cabin Type,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,3,AIDM RP1008 systematic coding — ABIE level
Cancel Restrictions,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,6,AIDM RP1008 systematic coding — ABIE level
Change Restrictions,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,7,AIDM RP1008 systematic coding — ABIE level
Commission,AIDM RP1008,Industry Schema,Revenue Management,Vendor,Vendor,Cost,Cost,MNAR,M4_AIDM_Full,Offers,7,AIDM RP1008 systematic coding — ABIE level
Dated Marketing Segment,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,8,AIDM RP1008 systematic coding — ABIE level
Dated Marketing Segment RBD,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,1,AIDM RP1008 systematic coding — ABIE level
Dated Operating Segment,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Offers,9,AIDM RP1008 systematic coding — ABIE level
Fare Detail,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,8,AIDM RP1008 systematic coding — ABIE level
Fee,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,10,AIDM RP1008 systematic coding — ABIE level
Inventory Guarantee,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,4,AIDM RP1008 systematic coding — ABIE level
Inventory Qualifiers,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,2,AIDM RP1008 systematic coding — ABIE level
Journey Data,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,1,AIDM RP1008 systematic coding — ABIE level
Key Value Property,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,2,AIDM RP1008 systematic coding — ABIE level
Marriage Group,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,2,AIDM RP1008 systematic coding — ABIE level
Marriage Group Segment,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,1,AIDM RP1008 systematic coding — ABIE level
Network Address,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,4,AIDM RP1008 systematic coding — ABIE level
Offer Item,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,Option,PARTIAL,M4_AIDM_Full,Offers,5,AIDM RP1008 systematic coding — ABIE level
Order Amendment,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,1,AIDM RP1008 systematic coding — ABIE level
Order Item,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,PARTIAL,M4_AIDM_Full,Offers,17,AIDM RP1008 systematic coding — ABIE level
Organization,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,3,AIDM RP1008 systematic coding — ABIE level
Origin Destination,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,1,AIDM RP1008 systematic coding — ABIE level
Passenger Group,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,3,AIDM RP1008 systematic coding — ABIE level
Passenger Journey,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,2,AIDM RP1008 systematic coding — ABIE level
Passenger Leg,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,1,AIDM RP1008 systematic coding — ABIE level
Passenger Segment,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,PARTIAL,M4_AIDM_Full,Offers,8,AIDM RP1008 systematic coding — ABIE level
Passenger Sharing Preference,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,2,AIDM RP1008 systematic coding — ABIE level
Penalty,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,10,AIDM RP1008 systematic coding — ABIE level
Preference Level,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,2,AIDM RP1008 systematic coding — ABIE level
Price,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,7,AIDM RP1008 systematic coding — ABIE level
Price Class,AIDM RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M4_AIDM_Full,Offers,6,AIDM RP1008 systematic coding — ABIE level
