ItinID,SeqNum,Coupons,Quarter,Origin,OriginCountry,Dest,DestCountry,TkCarrier,OpCarrier,RPCarrier,Passengers,FareClass,Distance,Gateway,ItinGeoType,CouponGeoType
202311342315,4,4,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311330431,4,4,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311379638,4,4,1,BOS,US,EWR,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311336927,4,4,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311382655,4,4,1,LAX,US,EWR,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311382681,4,4,1,BOS,US,EWR,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202315286433,4,4,1,EWR,US,BOS,US,B6,B6,YX,2.0,X,200.0,0.0,2,2
202311384682,4,4,1,SJU,US,EWR,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311380649,4,4,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,1,2
202311386788,4,4,1,SJU,US,EWR,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311383962,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311381512,3,3,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311381578,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311386757,3,3,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,1,2
202311447001,3,3,1,TPA,US,EWR,US,B6,B6,B6,1.0,Y,997.0,0.0,2,2
202311384831,3,3,1,TPA,US,EWR,US,B6,B6,B6,1.0,Y,997.0,0.0,2,2
202311381643,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311495364,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311404942,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311454045,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311479102,3,3,1,EWR,US,MCO,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311525755,3,3,1,EWR,US,SJU,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311494307,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311381584,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311383554,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311453338,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311341065,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311383553,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311381630,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311430617,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311448840,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311381628,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311494299,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311381633,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311537970,3,3,1,EWR,US,TPA,US,B6,B6,B6,1.0,Y,997.0,0.0,2,2
202311386628,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,1,2
202311538804,3,3,1,EWR,US,TPA,US,B6,B6,B6,1.0,Y,997.0,0.0,2,2
202311464518,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311495366,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311386635,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,1,2
202311495371,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311384027,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311381656,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311509854,3,3,1,EWR,US,RSW,US,B6,B6,B6,1.0,Y,1068.0,0.0,2,2
202311333621,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
20231417783,3,3,1,LAX,US,EWR,US,AA,B6,AA,1.0,D,2454.0,0.0,2,2
202311345227,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311525754,3,3,1,EWR,US,SJU,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311346054,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311342196,3,3,1,EWR,US,MIA,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311348661,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311430616,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311495365,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311457829,3,3,1,EWR,US,LAX,US,B6,B6,B6,3.0,Y,2454.0,0.0,2,2
202311525759,3,3,1,EWR,US,SJU,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311457835,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311393327,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311384675,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311395990,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311479098,3,3,1,EWR,US,MCO,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311320508,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311509451,3,3,1,EWR,US,RSW,US,B6,B6,B6,1.0,Y,1068.0,0.0,2,2
202311386756,3,3,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,1,2
202311454043,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311457844,3,3,1,EWR,US,LAX,US,B6,B6,B6,2.0,Y,2454.0,0.0,2,2
202311430614,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311457813,3,3,1,EWR,US,LAX,US,B6,B6,B6,2.0,Y,2454.0,0.0,2,2
202311538803,3,3,1,EWR,US,TPA,US,B6,B6,B6,2.0,Y,997.0,0.0,2,2
202311477587,3,3,1,EWR,US,MCO,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311383541,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311381558,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311381636,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311495361,3,3,1,EWR,US,PBI,US,B6,B6,B6,2.0,Y,1023.0,0.0,2,2
202311494300,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311365983,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,C,2454.0,0.0,2,2
202311464824,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311480514,3,3,1,EWR,US,MCO,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311382927,3,3,1,BOS,US,EWR,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311525760,3,3,1,EWR,US,SJU,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311383969,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311381580,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311382926,3,3,1,BOS,US,EWR,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311342192,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311457852,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,C,2454.0,0.0,2,2
202311387516,3,3,1,SJU,US,EWR,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311494317,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311406137,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311336293,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311386627,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,1,2
20231691368,3,3,1,EWR,US,FLL,US,B6,B6,AA,1.0,D,1065.0,0.0,2,2
202311415225,3,3,1,LAX,US,EWR,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202312701934,3,3,1,BOS,US,EWR,US,HA,B6,HA,1.0,X,200.0,0.0,1,2
202311464515,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311386638,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,1,2
202311383559,3,3,1,RSW,US,EWR,US,B6,B6,B6,1.0,Y,1068.0,0.0,2,2
202311383597,3,3,1,TPA,US,EWR,US,B6,B6,B6,1.0,Y,997.0,0.0,2,2
202311395989,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311414001,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,1,2
202311509865,3,3,1,EWR,US,RSW,US,B6,B6,B6,1.0,Y,1068.0,0.0,2,2
202311383415,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311494315,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311491734,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311457804,3,3,1,EWR,US,LAX,US,B6,B6,B6,2.0,Y,2454.0,0.0,2,2
202311390754,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311431323,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311348659,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311381573,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311381652,3,3,1,PBI,US,EWR,US,B6,B6,B6,2.0,Y,1023.0,0.0,2,2
202311386630,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,1,2
202311406823,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311454048,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311384811,3,3,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311381644,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311383949,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311381629,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311412406,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311493524,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311381660,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311385698,3,3,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311431322,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311436853,3,3,1,SJU,US,EWR,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311525750,3,3,1,EWR,US,SJU,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311341062,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
20231417103,3,3,1,BOS,US,EWR,US,B6,B6,AA,1.0,Y,200.0,0.0,2,2
202311341064,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311457832,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311457839,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311537968,3,3,1,EWR,US,TPA,US,B6,B6,B6,4.0,Y,997.0,0.0,2,2
202311342187,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311381553,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311466436,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311495373,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311389179,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311404943,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311381585,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311457848,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311406138,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311476607,3,3,1,EWR,US,MCO,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311384827,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311381655,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311386634,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,1,2
202311495368,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311538808,3,3,1,EWR,US,TPA,US,B6,B6,B6,1.0,Y,997.0,0.0,2,2
202311384029,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311495370,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311381568,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311538809,3,3,1,EWR,US,TPA,US,B6,B6,B6,1.0,Y,997.0,0.0,2,2
202311387513,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311365979,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311443470,3,3,1,LAX,US,EWR,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311457826,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311525758,3,3,1,EWR,US,SJU,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311385697,3,3,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311387507,3,3,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311381575,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311494297,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311457828,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311393323,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
