YEAR,MONTH,CARRIER,CARRIER_ID,CARRIER_WAC,ORIGIN,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_WAC,DEST,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,SERVICE_CLASS,DATA_SOURCE,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,CARRIER_WAC2
2023,1,YTZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",PD,71040,0,336,F,4,482,1,243,0,4543128,17982,12768,0,0,0,0,900,
2023,1,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",DL,01260,3,348,L,6,622,1,1,0,49760,72,62,0,0,92,62,10,
2023,1,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",13Q,71093,0,348,L,6,668,1,1,0,4602,10,1,0,0,0,0,900,
2023,1,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,673,1,130,0,2839980,9880,6652,0,0,0,0,900,
2023,1,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,638,1,4,0,91001,304,173,0,0,0,0,900,
2023,1,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,629,1,6,0,90000,300,249,0,0,0,0,900,
2023,1,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",YX,06003,3,348,F,6,677,1,37,39,706404,2590,1510,0,0,4044,2310,10,
2023,2,YTZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",04Q,01126,6,336,L,4,479,1,1,0,3450,8,5,0,0,78,72,10,
2023,2,YTZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",PD,71040,0,336,F,4,482,1,205,0,3832679,15170,10856,0,0,0,0,900,
2023,2,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",13Q,71093,0,348,L,6,636,1,1,0,6486,8,2,0,0,0,0,900,
2023,2,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",DL,01260,3,348,L,6,622,1,2,0,99520,144,113,0,0,173,110,10,
2023,2,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",AC,9900A,0,348,F,6,614,1,1,0,40689,169,74,0,0,0,0,900,
2023,2,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,673,1,81,0,1769526,6156,4481,0,0,0,0,900,
2023,2,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,638,1,55,0,1251250,4180,2795,0,0,0,0,900,
2023,2,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,629,1,3,0,45001,150,105,0,0,0,0,900,
2023,2,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",YX,06003,3,348,F,6,677,1,31,32,591852,2170,1627,0,0,3495,1928,10,
2023,3,YTZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",PD,71040,0,336,F,4,482,1,265,0,4954440,19610,14795,7,0,0,0,900,
2023,3,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",AC,9900A,0,348,F,6,698,1,1,0,32859,120,32,0,0,0,0,900,
2023,3,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",AC,9900A,0,348,F,6,699,1,1,0,50160,190,52,0,0,0,0,900,
2023,3,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",AC,9900A,0,348,F,6,724,1,1,0,34146,137,40,9,0,0,0,900,
2023,3,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,673,1,103,0,2250138,7828,5164,0,0,0,0,900,
